,capacity_sum,generation,PRICE
0,0.064,0.0,4019.0
1,0.128,0.0,1480.0
2,0.128,1.0,1837.0
3,0.256,0.0,846.0
4,0.256,1.0,180.0
5,0.256,2.0,528.0
6,0.512,0.0,10554.0
7,0.512,1.0,480.0
8,0.512,2.0,399.0
9,1.0,1.0,755.0
10,1.0,2.0,500.0
11,1.0,3.0,1150.0
12,1.024,1.0,1444.0
13,1.024,2.0,1980.0
14,2.0,1.0,8641.0
15,2.0,2.0,1090.0
16,2.0,3.0,1015.0
17,2.0,4.0,3062.0
18,3.0,3.0,6921.0
19,4.0,2.0,755.0
20,4.0,3.0,1640.0
21,4.0,4.0,2080.0
22,6.0,3.0,4980.0
23,8.0,2.0,755.0
24,8.0,3.0,2680.0
25,8.0,4.0,3380.0
26,12.0,3.0,6810.0
27,16.0,2.0,43800.0
28,16.0,3.0,6529.0
29,16.0,4.0,6670.0
30,24.0,3.0,15400.0
31,32.0,3.0,16220.0
32,32.0,4.0,12763.0
33,64.0,3.0,95304.0
34,64.0,4.0,28987.0
35,128.0,3.0,233856.0
36,128.0,4.0,66190.0
