,clock,core,thread,is_L2,L2,is_L3,L3,is_smart_cache,smart_cache,PRICE
0,1.7,6.0,6.0,0.0,0.0,0.0,0.0,1.0,15000.0,26462.0
1,1.7,6.0,6.0,0.0,0.0,1.0,8250.0,0.0,0.0,26839.0
2,1.7,8.0,8.0,0.0,0.0,0.0,0.0,1.0,20000.0,36647.0
3,1.7,8.0,8.0,0.0,0.0,1.0,11000.0,0.0,0.0,37949.0
4,1.8,8.0,16.0,0.0,0.0,0.0,0.0,1.0,20000.0,294704.0
5,1.8,8.0,16.0,0.0,0.0,1.0,11000.0,0.0,0.0,52750.0
6,1.9,6.0,6.0,0.0,0.0,1.0,8250.0,0.0,0.0,27918.0
7,2.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,10000.0,142698.0
8,2.0,14.0,28.0,0.0,0.0,1.0,35000.0,0.0,0.0,184799.0
9,2.0,20.0,40.0,0.0,0.0,1.0,27500.0,0.0,0.0,321990.0
10,2.0,24.0,48.0,0.0,0.0,1.0,64000.0,0.0,0.0,156639.0
11,2.0,26.0,52.0,0.0,0.0,1.0,35750.0,0.0,0.0,747990.0
12,2.0,32.0,64.0,0.0,0.0,1.0,64000.0,0.0,0.0,311299.0
13,2.1,8.0,16.0,0.0,0.0,0.0,0.0,1.0,20000.0,50723.0
14,2.1,8.0,16.0,0.0,0.0,1.0,11000.0,0.0,0.0,53490.0
15,2.1,8.0,16.0,0.0,0.0,1.0,32000.0,0.0,0.0,98779.0
16,2.1,12.0,24.0,0.0,0.0,1.0,16500.0,0.0,0.0,126093.0
17,2.1,16.0,32.0,0.0,0.0,0.0,0.0,1.0,40000.0,229899.0
18,2.1,16.0,32.0,0.0,0.0,1.0,22000.0,0.0,0.0,126590.0
19,2.1,18.0,36.0,0.0,0.0,0.0,0.0,1.0,45000.0,299969.0
20,2.1,20.0,40.0,0.0,0.0,1.0,28000.0,0.0,0.0,238600.0
21,2.1,22.0,44.0,0.0,0.0,1.0,30250.0,0.0,0.0,329500.0
22,2.1,24.0,48.0,0.0,0.0,1.0,33000.0,0.0,0.0,572990.0
23,2.1,24.0,48.0,0.0,0.0,1.0,36000.0,0.0,0.0,457578.0
24,2.1,26.0,52.0,0.0,0.0,1.0,35750.0,0.0,0.0,903900.0
25,2.1,28.0,56.0,0.0,0.0,1.0,38500.0,0.0,0.0,1064900.0
